Date_ymd,Interval,N_days_since_1901_01_01
1961-01-01,1901-01-01 UTC--1961-01-01 UTC,21915
1961-02-01,1901-01-01 UTC--1961-02-01 UTC,21946
1961-03-01,1901-01-01 UTC--1961-03-01 UTC,21974
1961-04-01,1901-01-01 UTC--1961-04-01 UTC,22005
1961-05-01,1901-01-01 UTC--1961-05-01 UTC,22035
1961-06-01,1901-01-01 UTC--1961-06-01 UTC,22066
1961-07-01,1901-01-01 UTC--1961-07-01 UTC,22096
1961-08-01,1901-01-01 UTC--1961-08-01 UTC,22127
1961-09-01,1901-01-01 UTC--1961-09-01 UTC,22158
1961-10-01,1901-01-01 UTC--1961-10-01 UTC,22188
1961-11-01,1901-01-01 UTC--1961-11-01 UTC,22219
1961-12-01,1901-01-01 UTC--1961-12-01 UTC,22249
1962-01-01,1901-01-01 UTC--1962-01-01 UTC,22280
1962-02-01,1901-01-01 UTC--1962-02-01 UTC,22311
1962-03-01,1901-01-01 UTC--1962-03-01 UTC,22339
1962-04-01,1901-01-01 UTC--1962-04-01 UTC,22370
1962-05-01,1901-01-01 UTC--1962-05-01 UTC,22400
1962-06-01,1901-01-01 UTC--1962-06-01 UTC,22431
1962-07-01,1901-01-01 UTC--1962-07-01 UTC,22461
1962-08-01,1901-01-01 UTC--1962-08-01 UTC,22492
1962-09-01,1901-01-01 UTC--1962-09-01 UTC,22523
1962-10-01,1901-01-01 UTC--1962-10-01 UTC,22553
1962-11-01,1901-01-01 UTC--1962-11-01 UTC,22584
1962-12-01,1901-01-01 UTC--1962-12-01 UTC,22614
1963-01-01,1901-01-01 UTC--1963-01-01 UTC,22645
1963-02-01,1901-01-01 UTC--1963-02-01 UTC,22676
1963-03-01,1901-01-01 UTC--1963-03-01 UTC,22704
1963-04-01,1901-01-01 UTC--1963-04-01 UTC,22735
1963-05-01,1901-01-01 UTC--1963-05-01 UTC,22765
1963-06-01,1901-01-01 UTC--1963-06-01 UTC,22796
1963-07-01,1901-01-01 UTC--1963-07-01 UTC,22826
1963-08-01,1901-01-01 UTC--1963-08-01 UTC,22857
1963-09-01,1901-01-01 UTC--1963-09-01 UTC,22888
1963-10-01,1901-01-01 UTC--1963-10-01 UTC,22918
1963-11-01,1901-01-01 UTC--1963-11-01 UTC,22949
1963-12-01,1901-01-01 UTC--1963-12-01 UTC,22979
1964-01-01,1901-01-01 UTC--1964-01-01 UTC,23010
1964-02-01,1901-01-01 UTC--1964-02-01 UTC,23041
1964-03-01,1901-01-01 UTC--1964-03-01 UTC,23070
1964-04-01,1901-01-01 UTC--1964-04-01 UTC,23101
1964-05-01,1901-01-01 UTC--1964-05-01 UTC,23131
1964-06-01,1901-01-01 UTC--1964-06-01 UTC,23162
1964-07-01,1901-01-01 UTC--1964-07-01 UTC,23192
1964-08-01,1901-01-01 UTC--1964-08-01 UTC,23223
1964-09-01,1901-01-01 UTC--1964-09-01 UTC,23254
1964-10-01,1901-01-01 UTC--1964-10-01 UTC,23284
1964-11-01,1901-01-01 UTC--1964-11-01 UTC,23315
1964-12-01,1901-01-01 UTC--1964-12-01 UTC,23345
1965-01-01,1901-01-01 UTC--1965-01-01 UTC,23376
1965-02-01,1901-01-01 UTC--1965-02-01 UTC,23407
1965-03-01,1901-01-01 UTC--1965-03-01 UTC,23435
1965-04-01,1901-01-01 UTC--1965-04-01 UTC,23466
1965-05-01,1901-01-01 UTC--1965-05-01 UTC,23496
1965-06-01,1901-01-01 UTC--1965-06-01 UTC,23527
1965-07-01,1901-01-01 UTC--1965-07-01 UTC,23557
1965-08-01,1901-01-01 UTC--1965-08-01 UTC,23588
1965-09-01,1901-01-01 UTC--1965-09-01 UTC,23619
1965-10-01,1901-01-01 UTC--1965-10-01 UTC,23649
1965-11-01,1901-01-01 UTC--1965-11-01 UTC,23680
1965-12-01,1901-01-01 UTC--1965-12-01 UTC,23710
1966-01-01,1901-01-01 UTC--1966-01-01 UTC,23741
1966-02-01,1901-01-01 UTC--1966-02-01 UTC,23772
1966-03-01,1901-01-01 UTC--1966-03-01 UTC,23800
1966-04-01,1901-01-01 UTC--1966-04-01 UTC,23831
1966-05-01,1901-01-01 UTC--1966-05-01 UTC,23861
1966-06-01,1901-01-01 UTC--1966-06-01 UTC,23892
1966-07-01,1901-01-01 UTC--1966-07-01 UTC,23922
1966-08-01,1901-01-01 UTC--1966-08-01 UTC,23953
1966-09-01,1901-01-01 UTC--1966-09-01 UTC,23984
1966-10-01,1901-01-01 UTC--1966-10-01 UTC,24014
1966-11-01,1901-01-01 UTC--1966-11-01 UTC,24045
1966-12-01,1901-01-01 UTC--1966-12-01 UTC,24075
1967-01-01,1901-01-01 UTC--1967-01-01 UTC,24106
1967-02-01,1901-01-01 UTC--1967-02-01 UTC,24137
1967-03-01,1901-01-01 UTC--1967-03-01 UTC,24165
1967-04-01,1901-01-01 UTC--1967-04-01 UTC,24196
1967-05-01,1901-01-01 UTC--1967-05-01 UTC,24226
1967-06-01,1901-01-01 UTC--1967-06-01 UTC,24257
1967-07-01,1901-01-01 UTC--1967-07-01 UTC,24287
1967-08-01,1901-01-01 UTC--1967-08-01 UTC,24318
1967-09-01,1901-01-01 UTC--1967-09-01 UTC,24349
1967-10-01,1901-01-01 UTC--1967-10-01 UTC,24379
1967-11-01,1901-01-01 UTC--1967-11-01 UTC,24410
1967-12-01,1901-01-01 UTC--1967-12-01 UTC,24440
1968-01-01,1901-01-01 UTC--1968-01-01 UTC,24471
1968-02-01,1901-01-01 UTC--1968-02-01 UTC,24502
1968-03-01,1901-01-01 UTC--1968-03-01 UTC,24531
1968-04-01,1901-01-01 UTC--1968-04-01 UTC,24562
1968-05-01,1901-01-01 UTC--1968-05-01 UTC,24592
1968-06-01,1901-01-01 UTC--1968-06-01 UTC,24623
1968-07-01,1901-01-01 UTC--1968-07-01 UTC,24653
1968-08-01,1901-01-01 UTC--1968-08-01 UTC,24684
1968-09-01,1901-01-01 UTC--1968-09-01 UTC,24715
1968-10-01,1901-01-01 UTC--1968-10-01 UTC,24745
1968-11-01,1901-01-01 UTC--1968-11-01 UTC,24776
1968-12-01,1901-01-01 UTC--1968-12-01 UTC,24806
1969-01-01,1901-01-01 UTC--1969-01-01 UTC,24837
1969-02-01,1901-01-01 UTC--1969-02-01 UTC,24868
1969-03-01,1901-01-01 UTC--1969-03-01 UTC,24896
1969-04-01,1901-01-01 UTC--1969-04-01 UTC,24927
1969-05-01,1901-01-01 UTC--1969-05-01 UTC,24957
1969-06-01,1901-01-01 UTC--1969-06-01 UTC,24988
1969-07-01,1901-01-01 UTC--1969-07-01 UTC,25018
1969-08-01,1901-01-01 UTC--1969-08-01 UTC,25049
1969-09-01,1901-01-01 UTC--1969-09-01 UTC,25080
1969-10-01,1901-01-01 UTC--1969-10-01 UTC,25110
1969-11-01,1901-01-01 UTC--1969-11-01 UTC,25141
1969-12-01,1901-01-01 UTC--1969-12-01 UTC,25171
1970-01-01,1901-01-01 UTC--1970-01-01 UTC,25202
1970-02-01,1901-01-01 UTC--1970-02-01 UTC,25233
1970-03-01,1901-01-01 UTC--1970-03-01 UTC,25261
1970-04-01,1901-01-01 UTC--1970-04-01 UTC,25292
1970-05-01,1901-01-01 UTC--1970-05-01 UTC,25322
1970-06-01,1901-01-01 UTC--1970-06-01 UTC,25353
1970-07-01,1901-01-01 UTC--1970-07-01 UTC,25383
1970-08-01,1901-01-01 UTC--1970-08-01 UTC,25414
1970-09-01,1901-01-01 UTC--1970-09-01 UTC,25445
1970-10-01,1901-01-01 UTC--1970-10-01 UTC,25475
1970-11-01,1901-01-01 UTC--1970-11-01 UTC,25506
1970-12-01,1901-01-01 UTC--1970-12-01 UTC,25536
1971-01-01,1901-01-01 UTC--1971-01-01 UTC,25567
1971-02-01,1901-01-01 UTC--1971-02-01 UTC,25598
1971-03-01,1901-01-01 UTC--1971-03-01 UTC,25626
1971-04-01,1901-01-01 UTC--1971-04-01 UTC,25657
1971-05-01,1901-01-01 UTC--1971-05-01 UTC,25687
1971-06-01,1901-01-01 UTC--1971-06-01 UTC,25718
1971-07-01,1901-01-01 UTC--1971-07-01 UTC,25748
1971-08-01,1901-01-01 UTC--1971-08-01 UTC,25779
1971-09-01,1901-01-01 UTC--1971-09-01 UTC,25810
1971-10-01,1901-01-01 UTC--1971-10-01 UTC,25840
1971-11-01,1901-01-01 UTC--1971-11-01 UTC,25871
1971-12-01,1901-01-01 UTC--1971-12-01 UTC,25901
1972-01-01,1901-01-01 UTC--1972-01-01 UTC,25932
1972-02-01,1901-01-01 UTC--1972-02-01 UTC,25963
1972-03-01,1901-01-01 UTC--1972-03-01 UTC,25992
1972-04-01,1901-01-01 UTC--1972-04-01 UTC,26023
1972-05-01,1901-01-01 UTC--1972-05-01 UTC,26053
1972-06-01,1901-01-01 UTC--1972-06-01 UTC,26084
1972-07-01,1901-01-01 UTC--1972-07-01 UTC,26114
1972-08-01,1901-01-01 UTC--1972-08-01 UTC,26145
1972-09-01,1901-01-01 UTC--1972-09-01 UTC,26176
1972-10-01,1901-01-01 UTC--1972-10-01 UTC,26206
1972-11-01,1901-01-01 UTC--1972-11-01 UTC,26237
1972-12-01,1901-01-01 UTC--1972-12-01 UTC,26267
1973-01-01,1901-01-01 UTC--1973-01-01 UTC,26298
1973-02-01,1901-01-01 UTC--1973-02-01 UTC,26329
