Date_ymd,Interval,N_days_since_1841_01_01
1841-01-01,1841-01-01 UTC--1841-01-01 UTC,0
1841-02-01,1841-01-01 UTC--1841-02-01 UTC,31
1841-03-01,1841-01-01 UTC--1841-03-01 UTC,59
1841-04-01,1841-01-01 UTC--1841-04-01 UTC,90
1841-05-01,1841-01-01 UTC--1841-05-01 UTC,120
1841-06-01,1841-01-01 UTC--1841-06-01 UTC,151
1841-07-01,1841-01-01 UTC--1841-07-01 UTC,181
1841-08-01,1841-01-01 UTC--1841-08-01 UTC,212
1841-09-01,1841-01-01 UTC--1841-09-01 UTC,243
1841-10-01,1841-01-01 UTC--1841-10-01 UTC,273
1841-11-01,1841-01-01 UTC--1841-11-01 UTC,304
1841-12-01,1841-01-01 UTC--1841-12-01 UTC,334
1842-01-01,1841-01-01 UTC--1842-01-01 UTC,365
1842-02-01,1841-01-01 UTC--1842-02-01 UTC,396
1842-03-01,1841-01-01 UTC--1842-03-01 UTC,424
1842-04-01,1841-01-01 UTC--1842-04-01 UTC,455
1842-05-01,1841-01-01 UTC--1842-05-01 UTC,485
1842-06-01,1841-01-01 UTC--1842-06-01 UTC,516
1842-07-01,1841-01-01 UTC--1842-07-01 UTC,546
1842-08-01,1841-01-01 UTC--1842-08-01 UTC,577
1842-09-01,1841-01-01 UTC--1842-09-01 UTC,608
1842-10-01,1841-01-01 UTC--1842-10-01 UTC,638
1842-11-01,1841-01-01 UTC--1842-11-01 UTC,669
1842-12-01,1841-01-01 UTC--1842-12-01 UTC,699
1843-01-01,1841-01-01 UTC--1843-01-01 UTC,730
1843-02-01,1841-01-01 UTC--1843-02-01 UTC,761
1843-03-01,1841-01-01 UTC--1843-03-01 UTC,789
1843-04-01,1841-01-01 UTC--1843-04-01 UTC,820
1843-05-01,1841-01-01 UTC--1843-05-01 UTC,850
1843-06-01,1841-01-01 UTC--1843-06-01 UTC,881
1843-07-01,1841-01-01 UTC--1843-07-01 UTC,911
1843-08-01,1841-01-01 UTC--1843-08-01 UTC,942
1843-09-01,1841-01-01 UTC--1843-09-01 UTC,973
1843-10-01,1841-01-01 UTC--1843-10-01 UTC,1003
1843-11-01,1841-01-01 UTC--1843-11-01 UTC,1034
1843-12-01,1841-01-01 UTC--1843-12-01 UTC,1064
1844-01-01,1841-01-01 UTC--1844-01-01 UTC,1095
1844-02-01,1841-01-01 UTC--1844-02-01 UTC,1126
1844-03-01,1841-01-01 UTC--1844-03-01 UTC,1155
1844-04-01,1841-01-01 UTC--1844-04-01 UTC,1186
1844-05-01,1841-01-01 UTC--1844-05-01 UTC,1216
1844-06-01,1841-01-01 UTC--1844-06-01 UTC,1247
1844-07-01,1841-01-01 UTC--1844-07-01 UTC,1277
1844-08-01,1841-01-01 UTC--1844-08-01 UTC,1308
1844-09-01,1841-01-01 UTC--1844-09-01 UTC,1339
1844-10-01,1841-01-01 UTC--1844-10-01 UTC,1369
1844-11-01,1841-01-01 UTC--1844-11-01 UTC,1400
1844-12-01,1841-01-01 UTC--1844-12-01 UTC,1430
1845-01-01,1841-01-01 UTC--1845-01-01 UTC,1461
1845-02-01,1841-01-01 UTC--1845-02-01 UTC,1492
1845-03-01,1841-01-01 UTC--1845-03-01 UTC,1520
1845-04-01,1841-01-01 UTC--1845-04-01 UTC,1551
1845-05-01,1841-01-01 UTC--1845-05-01 UTC,1581
1845-06-01,1841-01-01 UTC--1845-06-01 UTC,1612
1845-07-01,1841-01-01 UTC--1845-07-01 UTC,1642
1845-08-01,1841-01-01 UTC--1845-08-01 UTC,1673
1845-09-01,1841-01-01 UTC--1845-09-01 UTC,1704
1845-10-01,1841-01-01 UTC--1845-10-01 UTC,1734
1845-11-01,1841-01-01 UTC--1845-11-01 UTC,1765
1845-12-01,1841-01-01 UTC--1845-12-01 UTC,1795
1846-01-01,1841-01-01 UTC--1846-01-01 UTC,1826
1846-02-01,1841-01-01 UTC--1846-02-01 UTC,1857
1846-03-01,1841-01-01 UTC--1846-03-01 UTC,1885
1846-04-01,1841-01-01 UTC--1846-04-01 UTC,1916
1846-05-01,1841-01-01 UTC--1846-05-01 UTC,1946
1846-06-01,1841-01-01 UTC--1846-06-01 UTC,1977
1846-07-01,1841-01-01 UTC--1846-07-01 UTC,2007
1846-08-01,1841-01-01 UTC--1846-08-01 UTC,2038
1846-09-01,1841-01-01 UTC--1846-09-01 UTC,2069
1846-10-01,1841-01-01 UTC--1846-10-01 UTC,2099
1846-11-01,1841-01-01 UTC--1846-11-01 UTC,2130
1846-12-01,1841-01-01 UTC--1846-12-01 UTC,2160
1847-01-01,1841-01-01 UTC--1847-01-01 UTC,2191
1847-02-01,1841-01-01 UTC--1847-02-01 UTC,2222
1847-03-01,1841-01-01 UTC--1847-03-01 UTC,2250
1847-04-01,1841-01-01 UTC--1847-04-01 UTC,2281
1847-05-01,1841-01-01 UTC--1847-05-01 UTC,2311
1847-06-01,1841-01-01 UTC--1847-06-01 UTC,2342
1847-07-01,1841-01-01 UTC--1847-07-01 UTC,2372
1847-08-01,1841-01-01 UTC--1847-08-01 UTC,2403
1847-09-01,1841-01-01 UTC--1847-09-01 UTC,2434
1847-10-01,1841-01-01 UTC--1847-10-01 UTC,2464
1847-11-01,1841-01-01 UTC--1847-11-01 UTC,2495
1847-12-01,1841-01-01 UTC--1847-12-01 UTC,2525
1848-01-01,1841-01-01 UTC--1848-01-01 UTC,2556
1848-02-01,1841-01-01 UTC--1848-02-01 UTC,2587
1848-03-01,1841-01-01 UTC--1848-03-01 UTC,2616
1848-04-01,1841-01-01 UTC--1848-04-01 UTC,2647
1848-05-01,1841-01-01 UTC--1848-05-01 UTC,2677
1848-06-01,1841-01-01 UTC--1848-06-01 UTC,2708
1848-07-01,1841-01-01 UTC--1848-07-01 UTC,2738
1848-08-01,1841-01-01 UTC--1848-08-01 UTC,2769
1848-09-01,1841-01-01 UTC--1848-09-01 UTC,2800
1848-10-01,1841-01-01 UTC--1848-10-01 UTC,2830
1848-11-01,1841-01-01 UTC--1848-11-01 UTC,2861
1848-12-01,1841-01-01 UTC--1848-12-01 UTC,2891
1849-01-01,1841-01-01 UTC--1849-01-01 UTC,2922
1849-02-01,1841-01-01 UTC--1849-02-01 UTC,2953
1849-03-01,1841-01-01 UTC--1849-03-01 UTC,2981
1849-04-01,1841-01-01 UTC--1849-04-01 UTC,3012
1849-05-01,1841-01-01 UTC--1849-05-01 UTC,3042
1849-06-01,1841-01-01 UTC--1849-06-01 UTC,3073
1849-07-01,1841-01-01 UTC--1849-07-01 UTC,3103
1849-08-01,1841-01-01 UTC--1849-08-01 UTC,3134
1849-09-01,1841-01-01 UTC--1849-09-01 UTC,3165
